date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:39:33	58147/58147	---M--	200	added ('OK')	text/css	etag:%2235a1fa3-e323-544142f878ac0%22	http://www.softwebsolutions.com/wp-content/themes/softwebsolutions/css/style-newsite.css	/tmp/www.softwaregurus.com/www.softwebsolutions.com/wp-content/themes/softwebsolutions/css/style-newsite.css	(from http://www.softwebsolutions.com/)
21:39:34	14812/14812	---M--	200	added ('OK')	image/svg+xml	etag:%2235a136d-39dc-52b92b4e9e400%22	http://www.softwebsolutions.com/wp-content/themes/softwebsolutions/images/softweb-logo.svg	/tmp/www.softwaregurus.com/www.softwebsolutions.com/wp-content/themes/softwebsolutions/images/softweb-logo.svg	(from http://www.softwebsolutions.com/)
21:39:36	46982/46982	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:39:31%20GMT	http://www.softwebsolutions.com/services.html	/tmp/www.softwaregurus.com/www.softwebsolutions.com/services.html	(from http://www.softwebsolutions.com/)
21:39:36	30354/30354	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:39:36%20GMT	http://go.softwebsolutions.com/bot-development-services.html	/tmp/www.softwaregurus.com/go.softwebsolutions.com/bot-development-services.html	(from http://www.softwebsolutions.com/)
21:39:37	49648/49648	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:39:33%20GMT	http://www.softwebsolutions.com/portfolio.html	/tmp/www.softwaregurus.com/www.softwebsolutions.com/portfolio.html	(from http://www.softwebsolutions.com/)
21:39:39	39078/39078	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:39:34%20GMT	http://www.softwebsolutions.com/about-softweb-solutions.html	/tmp/www.softwaregurus.com/www.softwebsolutions.com/about-softweb-solutions.html	(from http://www.softwebsolutions.com/)
21:39:40	72596/72596	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:39:35%20GMT	http://www.softwebsolutions.com/resources/	/tmp/www.softwaregurus.com/www.softwebsolutions.com/resources/index.html	(from http://www.softwebsolutions.com/)
21:39:42	38425/38425	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:39:36%20GMT	http://www.softwebsolutions.com/process.html	/tmp/www.softwaregurus.com/www.softwebsolutions.com/process.html	(from http://www.softwebsolutions.com/)
21:39:43	36580/36580	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:39:38%20GMT	http://www.softwebsolutions.com/contactus.html	/tmp/www.softwaregurus.com/www.softwebsolutions.com/contactus.html	(from http://www.softwebsolutions.com/)
21:39:44	44593/44593	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:39:40%20GMT	http://www.softwebsolutions.com/careers.html	/tmp/www.softwaregurus.com/www.softwebsolutions.com/careers.html	(from http://www.softwebsolutions.com/)
